gene,cytoband,CNA,num,freq
ZNF776,19q13.43,AMP,816,2.5%
NALF1,13q33.3,AMP,816,2.6%
MIR3667HG,22q13.33,HOMDEL,816,0.9%
ZIK1,19q13.43,AMP,816,2.1%
PIEZO1,16q24.3,HOMDEL,816,2.0%
ZNF547,19q13.43,AMP,816,2.0%
GLT6D1,9q34.3,HOMDEL,816,0.5%
PGPEP1L,15q26.3,AMP,816,4.3%
GET4,7p22.3,HOMDEL,816,0.5%
CTRC,1p36.21,HOMDEL,816,0.6%
LINC00555,13q33.1,AMP,816,2.2%
LINC00557,13q32.1,AMP,816,2.1%
LINC00554,13q32.3,AMP,816,2.9%
TRAPPC2L,16q24.3,HOMDEL,816,2.0%
CCDC168,13q33.1,AMP,816,2.2%
ADSS2,1q44,AMP,816,14.0%
NRARP,9q34.3,HOMDEL,816,0.4%
ZNF410,14q24.3,HOMDEL,816,0.2%
ANKRD20A4P,9q13,HOMDEL,816,1.0%
CLCNKB,1p36.13,HOMDEL,816,0.7%
GPER1,7p22.3,HOMDEL,816,0.5%
PLEKHH3,17q21.2,HOMDEL,816,0.5%
WHAMMP2,15q13.1,HOMDEL,816,2.3%
UBL4B,1p13.3,HOMDEL,816,0.2%
PDE6B,4p16.3,HOMDEL,816,0.9%
WNT5B,12p13.33,AMP,816,3.8%
PANX2,22q13.33,HOMDEL,816,0.9%
CDC42BPG,11q13.1,HOMDEL,816,0.2%
PNMA8A,19q13.32,HOMDEL,816,0.2%
SLC26A1,4p16.3,HOMDEL,816,0.9%
ACBD4,17q21.31,HOMDEL,816,0.7%
B4GALNT3,12p13.33,AMP,816,4.2%
ADAM20P1,14q24.2,HOMDEL,816,0.4%
UQCRC1,3p21.31,HOMDEL,816,0.5%
SNX15,11q13.1,HOMDEL,816,0.2%
CAPZB,1p36.13,HOMDEL,816,0.6%
S1PR1,1p21.2,HOMDEL,816,0.2%
FRG1,4q35.2,HOMDEL,816,2.1%
CDHR4,3p21.31,HOMDEL,816,0.6%
DCLRE1B,1p13.2,HOMDEL,816,0.2%
HEBP1,12p13.1,HOMDEL,816,0.6%
SWINGN,13q34,AMP,816,2.7%
ANKK1,11q23.2,HOMDEL,816,1.5%
TMTC4,13q32.3,AMP,816,2.5%
SPATA7,14q31.3,HOMDEL,816,0.1%
DACT2,6q27,HOMDEL,816,1.2%
LRRC14B,5p15.33,AMP,816,2.7%
GPRC5A,12p13.1,HOMDEL,816,0.6%
PRRX2,9q34.11,HOMDEL,816,0.4%
GTF3C5,9q34.13,HOMDEL,816,0.2%
TAFA5,22q13.32,HOMDEL,816,1.3%
HDAC5,17q21.31,HOMDEL,816,0.5%
CLPTM1L,5p15.33,AMP,816,2.8%
CYBA,16q24.2,HOMDEL,816,2.0%
LINC02907,9q34.3,HOMDEL,816,0.5%
LSMEM2,3p21.31,HOMDEL,816,0.7%
KIF25,6q27,HOMDEL,816,1.2%
SNHG7,9q34.3,HOMDEL,816,0.4%
PSMC3IP,17q21.2,HOMDEL,816,0.5%
TNNI3,19q13.42,AMP,816,2.6%
DUX4L6,4q35.2,HOMDEL,816,2.1%
CCDC73,11p13,AMP,816,3.1%
TNNT1,19q13.42,AMP,816,2.6%
MICALL2,7p22.3,HOMDEL,816,0.5%
GLT1D1,12q24.33,HOMDEL,816,0.4%
SMYD3,1q44,AMP,816,14.1%
MRPS2,9q34.3,HOMDEL,816,0.5%
ZNF606,19q13.43,AMP,816,2.3%
GPR107,9q34.11,HOMDEL,816,0.5%
COX18,4q13.3,AMP,816,2.2%
ASB16,17q21.31,HOMDEL,816,0.5%
ISM2,14q24.3,HOMDEL,816,0.1%
LRRC37A4P,17q21.31,HOMDEL,816,0.5%
FBXW5,9q34.3,HOMDEL,816,0.4%
LINC02692,9q34.3,HOMDEL,816,0.4%
SLC22A23,6p25.2,HOMDEL,816,1.0%
APOC3,11q23.3,HOMDEL,816,1.2%
GPX1,3p21.31,HOMDEL,816,0.5%
ZNF544,19q13.43,AMP,816,2.3%
ARL17B,17q21.31,HOMDEL,816,0.5%
SIPA1L1,14q24.2,HOMDEL,816,0.4%
PLK2,5q11.2,HOMDEL,816,1.1%
STPG3,9q34.3,HOMDEL,816,0.4%
PPP2R5B,11q13.1,HOMDEL,816,0.2%
FGF14,13q33.1,AMP,816,2.6%
VAT1,17q21.31,HOMDEL,816,0.4%
TMEM229B,14q24.1,HOMDEL,816,0.1%
FAM74A3,9q21.11,HOMDEL,816,1.0%
TBC1D20,20p13,HOMDEL,816,0.9%
MTNR1A,4q35.2,HOMDEL,816,2.0%
LFNG,7p22.3,HOMDEL,816,0.5%
MAP3K9,14q24.2,HOMDEL,816,0.4%
LTBP2,14q24.3,HOMDEL,816,0.4%
FZD10,12q24.33,HOMDEL,816,0.4%
DUX4L7,4q35.2,HOMDEL,816,2.1%
ALDH6A1,14q24.3,HOMDEL,816,0.2%
MYO7A,11q13.5,AMP,816,7.1%
HIF3A,19q13.32,HOMDEL,816,0.1%
ENTPD2,9q34.3,HOMDEL,816,0.4%
SIK3,11q23.3,HOMDEL,816,1.2%
ME1,6q14.2,HOMDEL,816,0.4%
USP29,19q13.43,AMP,816,2.3%
JDP2,14q24.3,HOMDEL,816,0.2%
BRD3OS,9q34.2,HOMDEL,816,0.4%
TMCO3,13q34,AMP,816,2.6%
ZSCAN1,19q13.43,AMP,816,2.2%
RNF212,4p16.3,HOMDEL,816,0.9%
FERMT3,11q13.1,HOMDEL,816,0.1%
SAC3D1,11q13.1,HOMDEL,816,0.2%
ZNF773,19q13.43,AMP,816,2.2%
CASP3,4q35.1,HOMDEL,816,1.7%
NAXD,13q34,AMP,816,2.5%
PUS1,12q24.33,HOMDEL,816,0.7%
ZNF71,19q13.4,AMP,816,2.3%
ZNF550,19q13.43,AMP,816,2.2%
FAM27B,9q21.11,HOMDEL,816,1.0%
GALNS,16q24.3,HOMDEL,816,2.0%
GLB1L3,11q25,HOMDEL,816,2.0%
NUP214,9q34.13,HOMDEL,816,0.2%
OR2T4,1q44,AMP,816,14.1%
TGDS,13q32.1,AMP,816,2.1%
SNAI3,16q24.2,HOMDEL,816,2.0%
SNORD62A,9q34.13,HOMDEL,816,0.2%
FAM78A,9q34.13,HOMDEL,816,0.2%
CTTNBP2NL,1p13.2,HOMDEL,816,0.4%
OR2W5P,1q44,AMP,816,14.1%
